Model,Family,Train R²,Test R²,R² Gap,Train RMSE,Test RMSE,Train MAE,Test MAE,Train MAPE,Test MAPE
Linear Regression,Linear,0.19797792761732946,0.1343086541159112,0.06366927350141827,1.21230128267006,1.2219943811283602,0.9234421687593936,0.9272214836293101,57.82774893318546,57.79774956505547
Ridge,Linear,0.19814287763341476,0.13468863776563167,0.06345423986778309,1.2121766106655003,1.2217261626391722,0.923223759665665,0.9267446767372934,57.811862091273824,57.76622312474986
Lasso,Linear,0.18632190593887787,0.1292852604640874,0.05703664547479048,1.221078870697647,1.2255347188327237,0.9329683079010235,0.9305671247676027,58.4477021281671,58.36336370813735
ElasticNet,Linear,0.19235888092865627,0.13370033933273495,0.05865854159592132,1.2165406222142099,1.2224236488509213,0.929856287385221,0.92885614229405,58.26073904224802,58.163149098878996
Decision Tree,Tree-based,0.2972986102908699,0.01777127165143133,0.27952733863943857,1.13475684348746,1.3016492938904978,0.8452182917233433,0.9661518830379155,52.839859799866915,58.94782470412869
Random Forest,Tree-based,0.36007163943825116,0.10676769026661304,0.2533039491716381,1.0828868583480196,1.241280357221153,0.8353504677009935,0.9461226729953277,52.54845843566095,58.97725003761608
AdaBoost,Tree-based,0.1551025366872142,0.08591641633052227,0.06918612035669192,1.2442836871314773,1.255684766723961,1.0139095753112486,1.0212356095001693,70.70198891009427,70.8461033626966
Gradient Boosting,Tree-based,0.34354484903834537,0.10706110504825694,0.23648374399008842,1.0967810408690046,1.2410764685376396,0.8431253659652996,0.9461445643700103,52.935306329298825,58.77692142136694
XGBoost,Tree-based,0.5250648260116577,-0.005275726318359375,0.5303405523300171,0.9328989628108176,1.3168316842985819,0.7144215337446203,1.0061053128346154,44.57544731319059,62.15093173011057
LightGBM,Tree-based,0.3040469779246058,0.10311403035448152,0.20093294757012425,1.129294900100909,1.2438164209093923,0.8666999587099259,0.9509615569694959,54.099014457868066,59.0180796022866
SVR,Other,0.2982135326014307,-0.19457657392110406,0.49279010652253474,1.1340178720486573,1.43547180903478,0.6958007539304636,1.0194462387417647,33.295276880095884,54.38437744417431
KNN,Other,0.3523945285333172,-0.012684883068848407,0.3650794116021656,1.0893630967320946,1.3216754847376575,0.8194836956521738,0.9978260869565218,50.202219202898554,60.372826086956536
