quarter,country,category,unit_price_usd,discount_pct,discounted_price_usd,revenue_usd,unit_price_usd_is_outlier,discounted_price_usd_is_outlier,revenue_usd_is_outlier
Q1,Argentina,AirPods,159.27,7,148.12,148.12,0,0,0
Q1,Argentina,Accessories,29.99,15,25.49,127.45,0,0,0
Q2,Argentina,Apple Watch,293.92,0,293.92,1175.68,0,0,0
Q2,Argentina,Mac,1932.77,0,1932.77,3865.54,0,0,0
Q3,Argentina,Apple Watch,755.44,5,717.67,2153.01,0,0,0
Q3,Argentina,Accessories,103.02,0,103.02,309.06,0,0,0
Q3,Argentina,Mac,2003.7,3,1943.59,1943.59,0,0,0
Q3,Argentina,iPhone,1228.96,15,1044.62,3912.29,0,0,1
Q1,Argentina,Accessories,122.99,0,122.99,983.92,0,0,0
Q1,Argentina,iPad,520.05,0,520.05,520.05,0,0,0
Q1,Argentina,iPad,415.15,7,386.09,772.18,0,0,0
Q1,Argentina,iPad,1016.04,2,995.72,995.72,0,0,0
Q1,Argentina,iPhone,1024.23,5,973.02,973.02,0,0,0
Q2,Argentina,iPhone,964.42,10,867.98,867.98,0,0,0
Q2,Argentina,iPhone,928.72,0,928.72,2786.16,0,0,0
Q3,Argentina,Accessories,31.03,7,28.86,57.72,0,0,0
Q3,Argentina,Accessories,101.67,3,98.62,197.24,0,0,0
Q3,Argentina,AirPods,155.79,0,155.79,623.16,0,0,0
Q3,Argentina,Mac,1059.87,2,1038.67,2077.34,0,0,0
Q3,Argentina,iPad,839.97,0,839.97,839.97,0,0,0
Q3,Argentina,Accessories,126.54,5,120.21,120.21,0,0,0
Q4,Argentina,iPad,639.99,5,607.99,1215.98,0,0,0
Q4,Argentina,iPhone,413.49,7,384.55,769.1,0,0,0
Q2,Argentina,iPad,775.91,0,775.91,775.91,0,0,0
Q2,Argentina,iPad,418.64,7,389.34,389.34,0,0,0
Q2,Argentina,Accessories,78.25,5,74.34,148.68,0,0,0
Q3,Argentina,AirPods,156.74,0,156.74,156.74,0,0,0
Q3,Argentina,Accessories,91.89,0,91.89,91.89,0,0,0
Q3,Argentina,AirPods,251.4,0,251.4,502.8,0,0,0
Q4,Argentina,iPhone,797.75,0,797.75,1595.5,0,0,0
Q4,Argentina,Accessories,31.1,10,27.99,27.99,0,0,0
Q1,Argentina,iPhone,569.57,7,529.7,1059.4,0,0,0
Q1,Argentina,AirPods,264.73,10,238.26,1191.3,0,0,0
Q1,Argentina,iPhone,792.38,0,792.38,1584.76,0,0,0
Q1,Argentina,Mac,1318.6,2,1292.23,1292.23,0,0,0
Q1,Argentina,AirPods,266.75,0,266.75,533.5,0,0,0
Q2,Argentina,Accessories,38.46,0,38.46,38.46,0,0,0
Q3,Argentina,Mac,2091.83,5,1987.24,1987.24,0,0,0
Q3,Argentina,iPad,596.41,10,536.77,1073.54,0,0,0
Q4,Argentina,iPhone,1277.54,2,1251.99,1251.99,0,0,0
Q4,Argentina,iPhone,623.83,2,611.35,1222.7,0,0,0
Q4,Argentina,Accessories,97.11,10,87.4,87.4,0,0,0
Q4,Argentina,iPhone,1046.86,2,1025.92,2051.84,0,0,0
Q1,Argentina,Accessories,120.65,10,108.59,108.59,0,0,0
Q1,Argentina,iPhone,672.2,0,672.2,2016.6,0,0,0
Q1,Argentina,iPhone,905.12,7,841.76,841.76,0,0,0
Q2,Argentina,iPhone,957.25,15,813.66,1627.32,0,0,0
Q3,Argentina,Mac,582.64,0,582.64,1165.28,0,0,0
Q4,Argentina,Apple Watch,252.51,2,247.46,494.92,0,0,0
Q4,Argentina,Accessories,134.59,15,114.4,572.0,0,0,0
Q1,Argentina,Accessories,105.23,2,103.13,206.26,0,0,0
Q1,Argentina,AirPods,134.64,2,131.95,131.95,0,0,0
Q1,Argentina,Mac,1045.69,5,993.41,1986.82,0,0,0
Q1,Argentina,Accessories,139.02,7,129.29,258.58,0,0,0
Q2,Argentina,Mac,1175.43,0,1175.43,2350.86,0,0,0
Q2,Argentina,iPhone,1028.59,0,1028.59,1028.59,0,0,0
Q2,Argentina,iPhone,669.5,0,669.5,1339.0,0,0,0
Q2,Argentina,iPad,433.04,15,368.08,368.08,0,0,0
Q2,Argentina,Mac,2125.7475000000004,5,2053.9725,3912.29,1,1,1
Q2,Argentina,iPhone,1115.24,10,1003.72,2007.44,0,0,0
Q3,Argentina,Mac,2125.7475000000004,0,2053.9725,3912.29,1,1,1
Q3,Argentina,Mac,1913.83,0,1913.83,3912.29,0,0,1
Q3,Argentina,iPhone,1181.41,0,1181.41,1181.41,0,0,0
Q4,Argentina,Accessories,105.89,0,105.89,105.89,0,0,0
Q1,Argentina,Apple Watch,229.63,7,213.56,640.68,0,0,0
Q1,Argentina,iPad,559.06,0,559.06,3912.29,0,0,1
Q1,Argentina,iPad,462.57,0,462.57,925.14,0,0,0
Q2,Argentina,AirPods,541.34,3,525.1,525.1,0,0,0
Q3,Argentina,iPad,825.28,15,701.49,3507.45,0,0,0
Q4,Argentina,AirPods,241.21,0,241.21,241.21,0,0,0
Q4,Argentina,Mac,573.62,0,573.62,573.62,0,0,0
Q4,Argentina,Accessories,28.03,0,28.03,56.06,0,0,0
Q4,Argentina,Accessories,92.61,5,87.98,87.98,0,0,0
Q1,Argentina,Accessories,102.83,2,100.77,201.54,0,0,0
Q1,Argentina,iPhone,1026.3,7,954.46,954.46,0,0,0
Q2,Argentina,Accessories,98.43,15,83.67,167.34,0,0,0
Q2,Argentina,Apple Watch,799.97,0,799.97,3199.88,0,0,0
Q2,Argentina,Accessories,103.91,0,103.91,311.73,0,0,0
Q2,Argentina,iPhone,747.46,0,747.46,747.46,0,0,0
Q2,Argentina,iPhone,1129.77,15,960.3,1920.6,0,0,0
Q2,Argentina,iPhone,838.73,0,838.73,838.73,0,0,0
Q2,Argentina,iPhone,773.96,0,773.96,773.96,0,0,0
Q2,Argentina,Mac,2125.7475000000004,0,2053.9725,2660.43,1,1,0
Q2,Argentina,Apple Watch,385.91,7,358.9,358.9,0,0,0
Q2,Argentina,iPhone,1002.66,0,1002.66,1002.66,0,0,0
Q3,Argentina,Accessories,139.07,7,129.34,258.68,0,0,0
Q3,Argentina,Accessories,104.18,0,104.18,208.36,0,0,0
Q4,Argentina,Accessories,41.46,7,38.56,115.68,0,0,0
Q1,Argentina,Accessories,35.93,0,35.93,35.93,0,0,0
